Iteration,ReplicaIndex,Temperature,Energy,SAP
21,4,5.17947,38891.5,NA
21,5,13.895,39397.2,NA
21,6,37.2759,42275,NA
21,7,100,44604.6,NA
22,0,0.1,37378.3,NA
22,1,0.26827,37782.3,NA
22,2,0.719686,38096.6,NA
22,3,1.9307,38754,NA
22,4,5.17947,38891.5,NA
22,5,13.895,39397.2,NA
22,6,37.2759,42281.7,NA
22,7,100,43936.8,NA
23,0,0.1,37378.3,NA
23,1,0.26827,37737.8,NA
23,2,0.719686,38085.1,NA
23,3,1.9307,38096.6,NA
23,4,5.17947,38891.5,NA
23,5,13.895,39397.2,NA
23,6,37.2759,39937.5,NA
23,7,100,43199.9,NA
24,0,0.1,37378.3,NA
24,1,0.26827,37737.8,NA
24,2,0.719686,37944.6,NA
24,3,1.9307,38096.6,NA
24,4,5.17947,38866.9,NA
24,5,13.895,38891.5,NA
24,6,37.2759,39937.5,NA
24,7,100,43224.4,NA
25,0,0.1,37378.3,NA
25,1,0.26827,37737.8,NA
25,2,0.719686,37208.7,NA
25,3,1.9307,37944.6,NA
25,4,5.17947,38741,NA
25,5,13.895,38866.9,NA
25,6,37.2759,39747.4,NA
25,7,100,42623.5,NA
26,0,0.1,37261.7,NA
26,1,0.26827,37127.1,NA
26,2,0.719686,37378.3,NA
26,3,1.9307,37645.9,NA
26,4,5.17947,38375.4,NA
26,5,13.895,38741,NA
26,6,37.2759,39747.4,NA
26,7,100,42280,NA
27,0,0.1,37127.1,NA
27,1,0.26827,37261.7,NA
27,2,0.719686,37297.1,NA
27,3,1.9307,37645.9,NA
27,4,5.17947,38303.5,NA
27,5,13.895,38741,NA
27,6,37.2759,39747.4,NA
27,7,100,42051.5,NA
28,0,0.1,37127.1,NA
28,1,0.26827,36253.3,NA
28,2,0.719686,37261.7,NA
28,3,1.9307,37645.9,NA
28,4,5.17947,38303.5,NA
28,5,13.895,38315.7,NA
28,6,37.2759,39747.4,NA
28,7,100,41843.8,NA
29,0,0.1,36253.3,NA
29,1,0.26827,37074.6,NA
29,2,0.719686,37261.7,NA
29,3,1.9307,37630.8,NA
29,4,5.17947,37909.9,NA
29,5,13.895,37997.3,NA
29,6,37.2759,39085.6,NA
29,7,100,41652,NA
30,0,0.1,36253.3,NA
30,1,0.26827,36351.7,NA
30,2,0.719686,37074.6,NA
30,3,1.9307,37630.8,NA
30,4,5.17947,37909.9,NA
30,5,13.895,37666.1,NA
30,6,37.2759,37997.3,NA
30,7,100,40918.5,NA
31,0,0.1,36205.5,NA
31,1,0.26827,36247.3,NA
31,2,0.719686,37074.6,NA
31,3,1.9307,37630.8,NA
31,4,5.17947,37651.4,NA
31,5,13.895,37909.9,NA
31,6,37.2759,37997.3,NA
31,7,100,40918.5,NA
32,0,0.1,35906.7,NA
32,1,0.26827,36095.1,NA
32,2,0.719686,37074.6,NA
32,3,1.9307,37630.8,NA
32,4,5.17947,37651.4,NA
32,5,13.895,37855.4,NA
32,6,37.2759,37909.9,NA
32,7,100,40647.9,NA
33,0,0.1,35906.7,NA
33,1,0.26827,36095.1,NA
33,2,0.719686,37074.6,NA
33,3,1.9307,37506.7,NA
33,4,5.17947,37651.4,NA
33,5,13.895,37554.9,NA
33,6,37.2759,37855.4,NA
33,7,100,39673.7,NA
34,0,0.1,35906.7,NA
34,1,0.26827,36095.1,NA
34,2,0.719686,36969.9,NA
34,3,1.9307,37074.6,NA
34,4,5.17947,37368.2,NA
34,5,13.895,37554.9,NA
34,6,37.2759,37855.4,NA
34,7,100,39603.9,NA
35,0,0.1,35906.7,NA
35,1,0.26827,36095.1,NA
35,2,0.719686,36421.3,NA
35,3,1.9307,37074.6,NA
35,4,5.17947,37368.2,NA
35,5,13.895,37397.7,NA
35,6,37.2759,37855.4,NA
35,7,100,39603.9,NA
36,0,0.1,35906.7,NA
36,1,0.26827,36095.1,NA
36,2,0.719686,36421.3,NA
36,3,1.9307,36661.5,NA
36,4,5.17947,37368.2,NA
36,5,13.895,36653,NA
36,6,37.2759,37397.7,NA
36,7,100,39103.2,NA
37,0,0.1,35906.7,NA
37,1,0.26827,36095.1,NA
37,2,0.719686,36421.3,NA
37,3,1.9307,36661.5,NA
37,4,5.17947,36653,NA
37,5,13.895,37239.6,NA
37,6,37.2759,37368.2,NA
37,7,100,39103.2,NA
38,0,0.1,35906.7,NA
38,1,0.26827,36095.1,NA
38,2,0.719686,36421.3,NA
38,3,1.9307,36250.7,NA
